word;anger;anticipation;disgust;fear;joy;sadness;surprise;trust
aaaaaaah;0.0;0.0;0.0;0.344;0.0;0.0;0.0;0.0
aaaah;0.0;0.0;0.0;0.234;0.0;0.0;0.0;0.0
abacus;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.406
abandon;0.0;0.0;0.0;0.531;0.0;0.703;0.0;0.0
abandoned;0.222;0.0;0.0;0.534;0.0;0.828;0.0;0.0
abandonment;0.438;0.0;0.0;0.609;0.0;0.859;0.523;0.0
abbot;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.438
abduction;0.0;0.0;0.0;0.7;0.0;0.75;0.773;0.0
aberration;0.0;0.0;0.531;0.0;0.0;0.0;0.0;0.0
abeyance;0.0;0.391;0.0;0.0;0.0;0.0;0.0;0.0
abhor;0.816;0.0;0.609;0.547;0.0;0.0;0.0;0.0
abhorrence;0.0;0.0;0.742;0.0;0.0;0.0;0.0;0.0
abhorrent;0.875;0.0;0.68;0.672;0.0;0.0;0.0;0.0
abide;0.0;0.367;0.0;0.0;0.0;0.0;0.0;0.0
abject;0.0;0.0;0.438;0.0;0.0;0.0;0.0;0.0
abnormal;0.0;0.0;0.438;0.0;0.0;0.0;0.0;0.0
abolish;0.485;0.0;0.0;0.0;0.0;0.0;0.0;0.0
abominable;0.0;0.0;0.664;0.738;0.0;0.0;0.0;0.0
abominate;0.0;0.0;0.68;0.0;0.0;0.0;0.0;0.0
abomination;0.844;0.0;0.742;0.844;0.0;0.0;0.0;0.0
abortion;0.0;0.0;0.656;0.641;0.0;0.766;0.0;0.0
abortive;0.0;0.0;0.0;0.0;0.0;0.672;0.0;0.0
abrupt;0.0;0.0;0.0;0.0;0.0;0.0;0.703;0.0
abscess;0.0;0.0;0.0;0.0;0.0;0.438;0.0;0.0
absence;0.0;0.0;0.0;0.396;0.0;0.547;0.0;0.0
absent;0.0;0.0;0.0;0.0;0.0;0.438;0.0;0.0
absentee;0.0;0.0;0.0;0.0;0.0;0.348;0.0;0.0
absolution;0.0;0.0;0.0;0.0;0.306;0.0;0.0;0.617
abundance;0.0;0.547;0.078;0.0;0.652;0.0;0.0;0.57
abundant;0.0;0.0;0.0;0.0;0.516;0.0;0.0;0.0
abuse;0.812;0.0;0.695;0.672;0.0;0.625;0.0;0.0
abysmal;0.0;0.0;0.0;0.0;0.0;0.742;0.0;0.0
abyss;0.0;0.0;0.0;0.578;0.0;0.594;0.0;0.0
academic;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.648
accelerate;0.0;0.594;0.0;0.0;0.0;0.0;0.0;0.0
accept;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.664
acceptance;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.68
acceptances;0.0;0.0;0.0;0.203;0.0;0.0;0.0;0.0
accepted;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.672
accepting;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.742
accepts;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.648
accident;0.0;0.0;0.0;0.75;0.0;0.516;0.75;0.0
accidental;0.0;0.0;0.0;0.438;0.0;0.0;0.672;0.0
accidentally;0.0;0.0;0.0;0.0;0.0;0.0;0.672;0.0
